label,text
Books,GMAT Official Guide 2019: Book + Online 
Books,"Bestofferbuy 4CH Remote Control Wall Climbing Climber Stunt Toy Car, Color may vary The Wall Driving Car is an utterly astonishing, gravity defying, remote controlled Stunt Car that does just what its name implies, it really does climb up walls. Thanks to industrial fans and an advanced air system, this tiny rc car pulls air in under itself which holds it to the wall. Drive it straight at the wall, and when it gets there it starts to tilt upwards and at 45 degrees the monster gravity defying Traction Technology kicks in literally sucking the thing to the wall, where you drive it around just as if it was on the floor. If racing horizontally isn't enough, family and friends will be amazed when they see you race your new micro car on the walls and even ceilings! The ultra lightweight car body coupled with a powerful suction fan, lets you zip along walls and ceilings at full throttle, leaving regular floor racers in the dust."
Books,Egan's Fundamentals of Respiratory Care
Books,High School English Grammar and Composition Book (Regular Edition) 
Books,"Triathlon Training Handbook: 100 of the Best Workouts for the Multi-Sport Athlete About the Author Terri Schneider is a writer, speaker, coach, and sport psychology consultant, but her passion is being an extreme multi-sport endurance athlete including being a world-class triathlete for a decade, an elite international adventure racer, and a mountaineer. She obtained her master's degree in Sports Psychology after earning her bachelors of science degree in Exercise Physiology. She has co-authored numerous books including Triathlon Revolution, Triathlete's Guide to Mental Training, and The Thrill of Victory, the Agony of My Feet: Tales from the Wild and Wonderful World of Adventure Racing. She is also the author of Dirty Inspirations: Lessons from the Trenches of Extreme Endurance Sports. Her writing contributions, profile, and interviews have been featured in over 100 publications and websites around the world including Time, Psychology Today, Rolling Stone, Runner's World, Triathlete, Cosmopolitan, Glamour, Outside, Oxygen, USA Today, and The New York Times."
Books,"Stanley 54-105 Camp Axe Steel Shaft (Chrome and Black) For over 170 years, STANLEY has been synonymous with quality, reliability, innovation and value. From the “do-it-yourselfer” installing a ceiling fan to the professional contractor framing new homes, it's a safe bet that Stanley has the right tool for the job. We're proud of our reputation for excellence, and dedicated to continually testing, designing and improving our products to ensure quality and maximum function. Maintaining our standing of being the world's best at what we do is important to us and what you expect from a name like STANLEY."
Books,"39 JEE Main Chemistry Online (2018-2012) & Offline (2018-2002) Chapter-wise + Topic-wise Solved Papers About the Author Disha Experts is a team of most renowned and prolific content writers pioneering in School and Test Prep segments (Competitive Exams and Government Vacancies). It consists of more than 30 experts comprising of PhDs, B-Techs, PGs, etc. working full-time with decades of experience in various academic and competitive exam verticals. Disha Experts has emerged as a think tank in the School and Test Prep segments providing the most updated (latest pattern and syllabus-wise) to-the-point student friendly (relevant and easy-to-understand presentation) content such that the aspirants can give their best."
Books,"Skoodle Alt Page Sketch Book Ideal for home and school use. Ideal for gifting to some one special. Description : Sketch book, alt page, hc."
Books,"Viva Map Practice, History, Book 10 VIVA Map Practice Book (Geography and History) for Class X are designed and developed according to the latest CBSE/NCERT syllabus and guidelines. Each of the two books supplements the textbook prescribed for it, and aims to reinforce the geographical and historical concepts of the students. The two books fully cater to the needs of the students with plenty of map-based exercises, map-making skills, practice tasks, diagrams and illustrations. In addition, the books contain information on major aspects covered in Geography and History taught at the school level. These books will do more than just supplement the main textbooks. They will develop in students the ability to analyse, compare and contrast, which are integral to the study of Geography and History. In the two books, all the facts are actually and accurately presented as per the sources and all the location-specific facts have been incorporated on the basis of common coordinate system. The books aim to fulfil the needs of both teachers and students. Key features of the series: The series comprises two books including one each on Geography and History for Class X. Each book contains broad, relevant and thoroughly informative content. The map tasks are spread over two sections, with the first section containing the main map or diagram with useful information regarding its theme. The other section has the outline map or diagram with exercise based on it. Each given map is properly scaled, authenticated and approved by survey of India. Some sets of map-based sample questions developed as per the pattern of such questions asked in the Board Examination are given at the end of each book."
Books,Politics in India since Independence Textbook in Political Science for Class - 12  - 12119 
Clothing & Accessories,Softskin Seamless Padded Lace Bra & Panty Set (Pack of 3) Softskin brings to you a pack of 3 lingerie sets crafted completely out of the finest quality fabrics and laces. This is a seamless padded bra and panty set with elegant lace detailing on bra cup edges and panty sides .The molded cups fit ideally and do not show under fitted tops. The bra features fuller coverage push up cups with thick padding along with soft and smooth flexible straps with adjustable sliders. These sets are specially designed keeping in mind your comfort so that while looking glamorous and stylish you do not have to compromise on your comfort and ease. Show off your romantic side with its sleek and soft silhouette all wrapped with the goodness of imported fabrics.
Clothing & Accessories,"Mothercare Baby Boys' Regular Fit Sleepsuit (Pack of 3) Get your paws on these panda print sleepsuits, perfect for bear hugs with your little cub. Our sleepsuits are crafted from the softest cotton, with integral scratch mitts on smaller sizes to protect delicate skin. The nickel free poppers are ideal for urgent nappy changes, while the enclosed feet will keep tiny toes toasty warm."
